Date,Adj Close,Close,High,Low,Open,Volume
,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO,MRF.BO
2021-12-30,71774.8515625,72139.953125,72782.8984375,71889.8984375,72782.8984375,202
2021-12-31,72922.6015625,73293.546875,73699.953125,72224.6015625,72394.0,476
2022-01-03,73002.6484375,73374.0,73943.1015625,73089.1015625,73500.0,198
2022-01-04,73554.828125,73929.0,73998.0,73351.0,73937.953125,490
2022-01-05,73655.46875,74030.1484375,74400.0,73774.75,74100.0,153
2022-01-06,73758.4453125,74133.6484375,74385.25,73209.8984375,74150.0,169
2022-01-07,73811.2890625,74186.75,74633.5,73560.8984375,74449.953125,153
2022-01-10,73912.359375,74288.3515625,74950.0,74136.75,74439.046875,191
2022-01-11,73897.4296875,74273.3515625,74469.8984375,73900.1015625,74424.953125,333
2022-01-12,74873.234375,75254.1015625,75484.8515625,74315.0,74425.0,211
2022-01-13,75590.625,75975.1484375,76380.5,74987.796875,75533.3515625,422
2022-01-14,75744.9921875,76130.296875,76250.0,75351.203125,75790.546875,219
2022-01-17,76464.421875,76853.3984375,77193.6015625,75857.8515625,75857.8515625,249
2022-01-18,75939.40625,76325.703125,77255.75,76132.546875,76810.0,455
2022-01-19,76159.640625,76547.046875,76724.0,75565.1015625,76224.0,274
2022-01-20,73413.8515625,73787.296875,75966.046875,73539.6484375,75898.1015625,910
2022-01-21,72359.7734375,72727.8515625,74700.0,72006.25,73481.953125,802
2022-01-24,70743.390625,71103.25,72850.0,70007.0,72850.0,749
2022-01-25,70220.0,70577.203125,72299.796875,69900.0,71339.6484375,820
2022-01-27,70351.0859375,70708.953125,71000.0,69500.0,70500.0,663
2022-01-28,71024.1484375,71385.453125,72819.8984375,71030.0,71030.0,264
2022-01-31,71816.171875,72181.5,72460.0,71348.703125,71985.453125,341
2022-02-01,71144.9921875,71506.8984375,72746.953125,71288.75,72746.953125,444
2022-02-02,71159.578125,71521.546875,72679.1015625,71234.0,71899.953125,237
2022-02-03,70634.09375,70993.3984375,71931.046875,70010.0,70499.953125,785
2022-02-04,69697.703125,70052.25,71403.5,69850.0,71000.0,696
2022-02-07,68556.8515625,68905.6015625,70269.1015625,68634.796875,70191.0,979
2022-02-08,69196.8046875,69548.796875,69886.75,68500.0,69010.1015625,644
2022-02-09,70049.265625,70405.6015625,70500.0,69530.1484375,70046.953125,440
2022-02-10,69432.1015625,69785.296875,70899.953125,69520.1015625,70500.0,249
2022-02-11,67920.1328125,68265.6484375,69600.0,68100.0,69125.0,809
2022-02-15,66334.8125,66672.25,66990.75,65005.1484375,66120.0,885
2022-02-16,65776.203125,66110.796875,67646.953125,66001.203125,67646.953125,408
2022-02-17,65319.0078125,65648.296875,66678.203125,65500.0,66100.0,316
2022-02-18,65283.3828125,65612.5,66200.0,65329.1015625,65477.0,393
2022-02-21,64428.0,64752.80078125,65469.94921875,64600.0,65210.1484375,342
2022-02-22,65448.953125,65778.8984375,65972.3984375,63000.05078125,63400.0,908
2022-02-23,65482.73828125,65812.8515625,66853.0,65650.25,66299.953125,439
2022-02-24,63686.73828125,64007.80078125,65227.6484375,62944.5,63500.0,1361
2022-02-25,65182.64453125,65511.25,65782.3515625,64007.80078125,64007.80078125,748
2022-02-28,65386.1640625,65715.796875,66289.6015625,64500.0,65700.0,345
2022-03-02,65869.46875,66201.546875,66600.046875,65307.94921875,65880.0,295
2022-03-03,65756.765625,66088.25,66999.8984375,65800.0,66608.8984375,278
2022-03-04,65682.5703125,66013.703125,66163.8984375,65000.0,65500.05078125,385
2022-03-07,65783.4140625,66115.046875,66440.25,63800.05078125,64500.0,1097
2022-03-08,66007.5234375,66340.296875,66627.25,65800.0,66120.0,222
2022-03-09,65755.8671875,66087.3515625,66940.8984375,65957.8984375,66564.203125,278
2022-03-10,66527.359375,66862.75,67464.6484375,66504.0,66850.0,330
2022-03-11,67578.515625,67919.203125,68000.0,66410.203125,66980.0,202
2022-03-14,67895.0625,68237.3515625,68458.8515625,67412.1015625,68100.0,368
2022-03-15,67766.03125,68107.6484375,68958.953125,67718.6484375,68238.8515625,323
2022-03-16,68000.59375,68343.3984375,68800.0,68145.1015625,68310.0,282
2022-03-17,68639.96875,68986.0,69898.046875,68620.0,68634.953125,345
2022-03-21,66674.71875,67010.8515625,69922.6015625,66650.25,69479.8515625,654
2022-03-22,66791.78125,67128.5,67399.0,65965.796875,67399.0,597
2022-03-23,66498.359375,66833.6015625,67724.0,66619.0,67399.953125,344
2022-03-24,66449.109375,66784.1015625,67400.0,66446.046875,66741.3984375,172
2022-03-25,66152.109375,66485.6015625,67151.1484375,66005.0,66989.953125,293
2022-03-28,65394.4296875,65724.1015625,67300.0,64974.0,67300.0,526
